RegisterName,MSBit,LSBit,RegisterFiled,Comments,T_TX_GTM,T_RX_GTM,T_TX_A_P,T_RX_A,T_TX_A_106_P,T_RX_A_106,T_TX_A_212,T_RX_A_212,T_TX_A_424,T_RX_A_424,T_TX_A_848,T_RX_A_848,T_TX_F_P,T_RX_F,T_TX_F_212_P,T_RX_F_212,T_TX_F_424_P,T_RX_F_424,T_TX_ACT,T_RX_ACT,T_TX_A_106_ACT,T_RX_A_106_ACT,T_TX_F_212_ACT,T_RX_F_212_ACT,T_TX_F_424_ACT,T_RX_F_424_ACT,T_TX_B,T_RX_B,T_TX_B_106,T_RX_B_106,T_TX_B_212,T_RX_B_212,T_TX_B_424,T_RX_B_424,T_TX_B_848,T_RX_B_848,""
CLIF_ANA_RX_REG,"","","","","",0390A3,"","","",0390A3,"",0390A3,"",0390A3,"",0390AF,"",0390A3,"","","","","","","","","","","","","",0390A3,"","","","","","","","",""
CLIF_SIGPRO_ADCBCM_THRESHOLD_REG,"","","","","",080060,"","","",04003C,"",03000E0,"",0200040,"",0180040,"",080060,"","","","","","","","","",080060,"",080060,"","","",06400C8,"",06400C8,"",06400C8,"",06400A8,""
"",31,29,RESERVED,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","",0,"",0,"","","",0,"",0,"",0,"",0,""
"",28,16,EDGE_DETECT_TH,"","",8,"","","",4,"",30,"",20,"",18,"",8,"","","","","","","","","",8,"",8,"","","",64,"",64,"",64,"",64,""
"",15,13,RESERVED,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","",0,"",0,"","","",0,"",0,"",0,"",0,""
"",12,0,BIT_DETECT_TH,"","",60,"","","",3C,"",E0,"",40,"",40,"",60,"","","","","","","","","",60,"",60,"","","",C8,"",C8,"",C8,"",A8,""
CLIF_SIGPRO_ADCBCM_CONFIG_REG,"","","","","",00F809D0D,"","","",0180F9ED,"",00880F9EF,"",008805D0F,"",0041101E71,"","","",00F80AD05,"",00F80AD09,"","","","","",00F801C85,"",00F801C89,"","","",01780ADEF,"",017805DEF,"",017805DEF,"",017805C71,""
"",31,30,SYNC_MODE_SEL,"","",0,"","","",0,"",0,"",0,"",1,"","","",0,"",0,"","","","","",0,"",0,"","","",0,"",0,"",0,"",0,""
"",29,24,EPSILON_TH,"","",F,"","","",1,"",8,"",8,"",1,"","","",F,"",F,"","","","","",F,"",F,"","","",17,"",17,"",17,"",17,""
"",23,16,WATCH_DOG_VAL,"","",80,"","","",80,"",80,"",80,"",10,"","","",80,"",80,"","","","","",80,"",80,"","","",80,"",80,"",80,"",80,""
"",15,14,BIT_DETECT_DYN_MODE,"","",2,"","","",3,"",3,"",1,"",0,"","","",2,"",2,"","","","","",0,"",0,"","","",2,"",1,"",1,"",1,""
"",13,12,EDGE_DETECT_DYN_MODE,"","",1,"","","",3,"",3,"",1,"",1,"","","",2,"",2,"","","","","",1,"",1,"","","",2,"",1,"",1,"",1,""
"",11,10,WATCH_DOG_MODE,"","",3,"","","",2,"",2,"",3,"",3,"","","",3,"",3,"","","","","",3,"",3,"","","",3,"",3,"",3,"",3,""
"",9,9,SYNC_MODE_ENABLE,"","",0,"","","",0,"",0,"",0,"",1,"","","",0,"",0,"","","","","",0,"",0,"","","",0,"",0,"",0,"",0,""
"",8,5,EDGE_DETECT_TAP_SEL,"","",8,"","","",F,"",F,"",8,"",3,"","","",8,"",8,"","","","","",4,"",4,"","","",F,"",F,"",F,"",3,""
"",4,4,ADCBCM_ENABLE_848,"","",0,"","","",0,"",0,"",0,"",1,"","","",0,"",0,"","","","","",0,"",0,"","","",0,"",0,"",0,"",1,""
"",3,3,ADCBCM_ENABLE_424,"","",1,"","","",1,"",1,"",1,"",0,"","","",0,"",1,"","","","","",0,"",1,"","","",1,"",1,"",1,"",0,""
"",2,2,ADCBCM_ENABLE_212,"","",1,"","","",1,"",1,"",1,"",0,"","","",1,"",0,"","","","","",1,"",0,"","","",1,"",1,"",1,"",0,""
